"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.249088120E-1	9.509678483E-1	-2.390284061E0	-7.820783854E-1	2.688762605E0
1.432500620E-1	1.249764204E0	-1.664330482E0	-8.718729019E-2	2.083148613E0
1.615913120E-1	1.127093077E0	-9.110183716E-1	-3.636214733E-1	1.494159915E0
1.799325620E-1	6.228130460E-1	-8.480749130E-1	-5.827884674E-1	1.202817337E0
1.982738120E-1	8.432722092E-2	-1.230457306E0	-4.346580505E-1	1.307694109E0
2.166150620E-1	-2.463073134E-1	-8.647680283E-1	-6.193257570E-1	1.091812909E0
2.349563120E-1	-2.357874513E-1	4.446907043E-1	-1.176698804E0	1.279830309E0
2.532975620E-1	9.431749582E-2	1.881692886E0	-8.297421932E-1	2.058673363E0
2.716388120E-1	2.291304320E-1	2.287583351E0	1.963841915E-1	2.307402239E0
2.899800620E-1	1.682674885E-1	2.108964920E0	1.026527643E0	2.351553951E0
3.083213120E-1	3.984781802E-1	2.494680405E0	1.042565107E0	2.732975884E0
3.266625100E-1	1.369786620E0	3.240922928E0	1.477746487E0	3.816232630E0
3.450037600E-1	1.777752757E0	2.735177040E0	1.536263466E0	3.605787534E0
3.633450100E-1	2.015940666E0	1.793777466E0	2.283103704E0	3.534715956E0
3.816862600E-1	2.195929050E0	1.937381744E0	2.199745655E0	3.662571960E0
4.000274580E-1	2.398466349E0	3.371553421E0	2.392271519E0	4.779432635E0
4.183687080E-1	2.362675190E0	3.123682022E0	3.321042776E0	5.135070452E0
4.367099580E-1	1.417874455E0	1.404072762E0	3.580753326E0	4.099217325E0
4.550384480E-1	7.277681231E-1	-1.326303482E-1	3.274356127E0	3.356880292E0
4.733924580E-1	1.001369238E0	-1.863546371E-1	2.758024693E0	2.940096700E0
4.917337080E-1	2.166582108E0	-6.031999588E-1	4.262171745E0	4.819132308E0
5.100621460E-1	2.534249544E0	-1.647446156E0	4.307417870E0	5.262161941E0
5.284162080E-1	2.136223078E0	-2.945306778E0	2.783610582E0	4.581131839E0
5.467574060E-1	1.647686005E0	-4.131896019E0	6.973111629E-1	4.502629980E0
5.650858960E-1	1.018422365E0	-4.149729252E0	-1.268701553E0	4.457245855E0
5.834398540E-1	8.964934945E-1	-3.580766678E0	-2.313573122E0	4.356398877E0
6.017811040E-1	7.196164131E-1	-3.132802963E0	-1.544224501E0	3.566080691E0
6.201095420E-1	1.172159433E0	-2.530357838E0	8.218185902E-1	2.907241703E0
6.384635520E-1	1.165089846E0	-2.053563118E0	1.255128860E0	2.673930494E0
6.568048540E-1	7.625980973E-1	-1.538512230E0	3.651678562E-1	1.755540744E0
6.751460520E-1	5.161935687E-1	-1.523776054E0	-5.913140774E-1	1.714059976E0
6.934872500E-1	2.494142652E-1	-5.910310745E-1	-1.124210358E0	1.294362443E0
7.118285000E-1	7.837501764E-1	2.407674789E-1	-1.594218969E0	1.792698368E0
7.301697500E-1	1.156451941E0	9.641418457E-1	-9.202634096E-1	1.764606283E0
7.485110000E-1	1.350938201E0	1.132465363E0	-5.755198002E-2	1.763752831E0
7.668521980E-1	1.390331030E0	1.654112816E0	-2.887604237E-1	2.180021138E0
7.851933960E-1	1.142755985E0	2.346666336E0	-4.119071960E-1	2.642423447E0
8.035346460E-1	1.061603665E0	2.318898201E0	-5.261203051E-1	2.604053337E0
8.218758960E-1	1.131090999E0	2.075080872E0	-4.904603958E-1	2.413685744E0
8.402043330E-1	1.795117021E0	1.225786209E0	1.366332650E0	2.567462144E0
8.585583440E-1	1.641470671E0	1.563434601E-1	2.895450592E0	3.332041922E0
8.768995420E-1	-2.818344235E-1	1.587371826E-1	1.015836954E0	1.066092328E0
8.952279790E-1	-2.259654760E0	1.528333664E0	-2.049594402E0	3.412137254E0
9.135820420E-1	-2.868684530E0	2.453817368E0	-1.800645471E0	4.182450803E0
9.319232390E-1	-8.167353868E-1	2.627644539E0	2.599400520E0	3.785294649E0
9.502516770E-1	8.341928720E-1	2.058228493E0	6.474006176E0	6.844336216E0
9.686056870E-1	5.529197454E-1	4.663133621E-1	5.512353420E0	5.559605078E0
9.869468850E-1	-3.147446811E-1	-7.604703903E-1	1.555680156E0	1.759977323E0
1.005275323E0	-9.073562622E-1	-2.054578781E0	-5.135499239E-1	2.303979791E0
